Date,AAPL,AMZN,GOOGL,META,NFLX
02-01-2020,75.09,94.9,68.43,209.78,329.81
03-01-2020,74.36,93.75,68.08,208.67,325.9
06-01-2020,74.95,95.14,69.89,212.6,335.83
07-01-2020,74.6,95.34,69.76,213.06,330.75
08-01-2020,75.8,94.6,70.25,215.22,339.26
09-01-2020,77.41,95.05,70.99,218.3,335.66
10-01-2020,77.58,94.16,71.45,218.06,329.05
13-01-2020,79.24,94.57,72,221.91,338.92
14-01-2020,78.17,93.47,71.53,219.06,338.69
15-01-2020,77.83,93.1,71.96,221.15,339.07
16-01-2020,78.81,93.9,72.51,221.77,338.62
17-01-2020,79.68,93.24,73.98,222.14,339.67
21-01-2020,79.14,94.6,74.11,221.44,338.11
22-01-2020,79.43,94.37,74.19,221.32,326
23-01-2020,79.81,94.23,74.23,219.76,349.6
24-01-2020,79.58,93.08,73.31,217.94,353.16
27-01-2020,77.24,91.42,71.59,214.87,342.88
28-01-2020,79.42,92.66,72.53,217.79,348.52
29-01-2020,81.08,92.9,72.83,223.23,343.16
30-01-2020,80.97,93.53,72.71,209.53,347.74
31-01-2020,77.38,100.44,71.64,201.91,345.09
03-02-2020,77.17,100.21,74.13,204.19,358
04-02-2020,79.71,102.48,72.27,209.83,369.01
05-02-2020,80.36,101.99,72.3,210.11,369.67
06-02-2020,81.3,102.51,73.8,210.85,366.95
07-02-2020,80.01,103.96,73.96,212.33,366.77
10-02-2020,80.39,106.7,75.43,213.06,371.07
11-02-2020,79.9,107.54,75.5,207.19,373.69
12-02-2020,81.8,108,75.93,210.76,380.01
13-02-2020,81.22,107.49,75.67,213.14,381.4
14-02-2020,81.24,106.74,75.94,214.18,380.4
18-02-2020,79.75,107.78,75.97,217.8,387.78
19-02-2020,80.9,108.51,76.24,217.49,386.19
20-02-2020,80.07,107.65,75.85,214.58,386
21-02-2020,78.26,104.8,74.17,210.18,380.07
24-02-2020,74.54,100.46,70.99,200.72,368.7
25-02-2020,72.02,98.64,69.32,196.77,360.09
26-02-2020,73.16,98.98,69.52,197.2,379.24
27-02-2020,68.38,94.21,65.75,189.75,371.71
28-02-2020,68.34,94.19,66.96,192.47,369.03
02-03-2020,74.7,97.7,69.32,196.44,381.05
03-03-2020,72.33,95.45,66.89,185.89,368.77
04-03-2020,75.68,98.79,69.08,191.76,383.79
05-03-2020,73.23,96.2,65.74,185.17,372.78
06-03-2020,72.26,95.05,64.79,181.09,368.97
09-03-2020,66.54,90.03,60.79,169.5,346.49
10-03-2020,71.33,94.59,63.76,178.19,364.13
11-03-2020,68.86,91.04,60.54,170.24,349.92
12-03-2020,62.06,83.83,55.58,154.47,315.25
13-03-2020,69.49,89.25,60.71,170.28,336.3
16-03-2020,60.55,84.46,53.65,146.01,298.84
17-03-2020,63.22,90.39,55.9,149.42,319.75
18-03-2020,61.67,91.5,54.56,146.96,315.47
19-03-2020,61.19,94.05,55.58,153.13,332.03
20-03-2020,57.31,92.3,53.41,149.73,332.83
23-03-2020,56.09,95.14,52.71,148.1,360.27
24-03-2020,61.72,97,56.5,160.98,357.32
25-03-2020,61.38,94.29,55.08,156.21,342.39
26-03-2020,64.61,97.77,58.15,163.34,362.99
27-03-2020,61.94,95,55.51,156.79,357.12
30-03-2020,63.7,98.2,57.32,165.95,370.96
31-03-2020,63.57,97.49,58.1,166.8,375.5
01-04-2020,60.23,95.39,55.1,159.6,364.08
02-04-2020,61.23,95.94,55.85,158.19,370.08
03-04-2020,60.35,95.33,54.63,154.18,361.76
06-04-2020,65.62,99.88,59.16,165.55,379.96
07-04-2020,64.86,100.58,59.13,168.83,372.28
08-04-2020,66.52,102.15,60.35,174.28,371.12
09-04-2020,67,102.14,60.33,175.19,370.72
13-04-2020,68.31,108.44,60.52,174.79,396.72
14-04-2020,71.76,114.17,63.26,178.17,413.55
15-04-2020,71.11,115.38,62.87,176.97,426.75
16-04-2020,71.67,120.41,62.87,176.25,439.17
17-04-2020,70.7,118.75,63.95,179.24,422.96
20-04-2020,69.23,119.68,63.06,178.24,437.49
21-04-2020,67.09,116.41,60.61,170.8,433.83
22-04-2020,69.03,118.17,62.92,182.28,421.42
23-04-2020,68.76,119.97,63.56,185.13,426.7
24-04-2020,70.74,120.51,63.83,190.07,424.99
27-04-2020,70.79,118.8,63.54,187.5,421.38
28-04-2020,69.64,115.7,61.63,182.91,403.83
29-04-2020,71.93,118.64,67.11,194.19,411.89
30-04-2020,73.45,123.7,67.33,204.71,419.85
01-05-2020,72.27,114.3,65.87,202.27,415.27
04-05-2020,73.29,115.8,66.14,205.26,428.15
05-05-2020,74.39,115.89,67.45,207.07,424.68
06-05-2020,75.16,117.56,67.27,208.47,434.26
07-05-2020,75.93,118.38,68.46,211.26,436.53
08-05-2020,77.53,118.98,69.22,212.35,435.55
11-05-2020,78.75,120.45,70.18,213.18,440.52
12-05-2020,77.85,117.85,68.76,210.1,431.82
13-05-2020,76.91,118.4,67.42,205.1,438.27
14-05-2020,77.39,119.44,67.84,206.81,441.95
15-05-2020,76.93,120.49,68.65,210.88,454.19
18-05-2020,78.74,121.31,69.26,213.19,452.58
19-05-2020,78.29,122.47,68.72,216.88,451.04
20-05-2020,79.81,124.9,70.46,229.97,447.67
21-05-2020,79.21,122.34,70.34,231.39,436.25
22-05-2020,79.72,121.84,70.66,234.91,429.32
26-05-2020,79.18,121.09,71.07,232.2,414.77
27-05-2020,79.53,120.52,71.01,229.14,419.89
28-05-2020,79.56,120.06,70.91,225.46,413.44
29-05-2020,79.49,122.12,71.68,225.09,419.73
01-06-2020,80.46,123.55,71.74,231.91,425.92
02-06-2020,80.83,123.62,72.12,232.72,427.31
03-06-2020,81.28,123.92,71.96,230.16,421.97
04-06-2020,80.58,123.03,70.71,226.29,414.33
05-06-2020,82.88,124.15,72,230.77,419.6
08-06-2020,83.36,126.2,72.4,231.4,419.49
09-06-2020,86,130.04,72.6,238.67,434.05
